COORDX;COORDY;TIPO_UNID;NOME;NUMERO;CNES;HORARIO_FU;MUNICIPIO;JURISDICAO;ORIG_FID;BAIRRO;COD_MUN;CEP;SITUACAO;ZONA;LOGRADOURO;DATA;TELEFONE;SIGLA;EMAIL;GESTAO;SIGLA_EXTE;TIPO_ESTAB;FONTE;Id
-40,2807924369763;-19,8180654282686;"""""";UNIDADE BASICA DE SAUDE DE VILA RICA;S/N;2769956;;Aracruz;Municipal;;VILA RICA;320060;29194106;;;RUA PADRE LUIZ PARENZI;03/10/2019;(27) 3270-7961;;"""""";M;;001;;12
-40,266091587104;-19,8246484913502;"""""";SECRETARIA MUNICIPAL DE SAUDE DE ARACRUZ;20;2650460;;Aracruz;Municipal;;MOROBA;320060;29192733;;;AVENIDA MOROBA;29/08/2019;27 3270-7411;;semsa@aracruz.es.gov.br;M;;002;;13
-41,2724415645461;-20,7636464556379;"""""";UNIDADE BASICA DE SAUDE DA FAMILIA DR ANTERO DE C S FILHO;S/N;2485591;;Cachoeiro de Itapemirim;Municipal;;PACOTUBA;320120;29323000;;;RUA ANTERO SOARES;05/11/2019;(28)3539-7109;;semus@cachoeiro.es.gov.br;M;;001;;14
-40,0720001181913;-19,3910061825386;"""""";UNIDADE DE SAUDE SAO JOSE JOAO FERNANDES DE SOUZA;S/N;2465957;;Linhares;Municipal;;SAO JOSE;320320;29905110;;;AVENIDA JOAO BONICENHA;27/06/2019;(27)3372-3737 - 3373-2486;;"""""";M;;001;;15
-40,0720001181913;-19,3910061825386;"""""";UNIDADE DE SAUDE INTERLAGOS I;1190;2465973;;Linhares;Municipal;;INTERLAGOS;320320;29903072;;;AV VASCO FERNANDES COUTINHO;27/06/2019;(27)3372-2088;;"""""";M;;001;;16
-40,0720001181913;-19,3910061825386;"""""";UNIDADE MOVEL DE SAUDE MEDICO ODONTOLOGICA;S/N;2466252;;Linhares;Municipal;;COLINA;320320;29900380;;;RUA GOVERNADOR BLEY;27/06/2019;(27)3372-2063;;"""""";M;;001;;17
-40,8949914395099;-18,730115601848;"""""";EACS DE SAUDE VILA LUCIENE;S/N;2627779;;Barra de São Francisco;Municipal;;VILA LUCIENE;320090;29800000;;;VILA LUCIENE;04/12/2019;(27)37561277;;"""""";M;;016;;18
-40,8909997735956;-18,7549994747892;"""""";ESTRATEGIA DE SAUDE DA FAMILIA VILA PAULISTA;S/N;2627876;;Barra de São Francisco;Municipal;;VILA PAULISTA;320090;29800000;;;R PRINCIPAL;04/12/2019;(27)37567955;;"""""";M;;016;;19
-40,8909997735956;-18,7549994747892;"""""";ESTRATEGIA DE SAUDE DA FAMILIA COLINA;S/N;2680483;;Barra de São Francisco;Municipal;;COLINA;320090;29800000;;;BAIRRO MORRO DA COLINA;04/12/2019;(27)37567955;;semusbsf@ig.com.br;M;;016;;20
-40,813528776994;-18,7559023742813;"""""";ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANTONIO;S/N;2445905;;Barra de São Francisco;Municipal;;VILA SANTO ANTONIO;320090;29800000;;;RUA PRINCIPAL;04/12/2019;(27)37567478;;"""""";M;;016;;21
-40,8895759326581;-18,750704649725;"""""";ESTRATEGIA DE SAUDE DA FAMILIA IRMAOS FERNANDES;S/N;2627841;;Barra de São Francisco;Municipal;;IRMAOS FERNANDES;320090;29800000;;;RUA PONCIANO FARIAS DE JESUS;04/12/2019;(27)37567955;;"""""";M;;016;;22
-40,8932935722504;-18,7554912015683;"""""";HOSPITAL DOUTORA RITA DE CASSIA;825;2445956;;Barra de São Francisco;Municipal;;CENTRO;320090;29800000;;;RUA PREFEITO MANOEL GONCALVES;05/06/2019;(27)37561211;;"""""";M;;"""""";;23
-40,3251828216144;-20,2763197248818;"""""";UNIDADE BASICA DE SAUDE CONQUISTA NOVA PALESTINA;6090;12254;;Vitória;Municipal;;CONQUISTA;320530;29033020;;;RODOVIA SERAFIM DERENZI;29/11/2019;27-33179610/33854304;;ussaopedrov@correio1.vitoria.gov.br;M;;001;;24
-40,3111569311492;-20,3179662380367;"""""";LACEN;2025;12424;;Vitória;Estadual;;BENTO FERREIRA;320530;29050625;;;AV MAL MASCARENHAS DE MORAES;02/07/2019;(27)31373404;;"""""";E;;022;;25
-40,2983877715728;-20,3151162269089;"""""";UNIDADE BASICA DE SAUDE PRAIA DO SUA LUCILO BORGES SANT ANA;S/N;28177;;Vitória;Municipal;;PRAIA DO SUA;320530;29050290;;;RUA CAETANO TUNHOLI;27/04/2019;(27)33826512/6514;;uspsua@correio1.vitoria.es.gov.br;M;;001;;26
-41,5359997620468;-20,3459947643842;"""""";UNIDADE SANITARIA DE TRINDADE;S/N;2446898;;Iúna;Municipal;;DISTRITO SS TRINDADE;320300;29390000;;;AV OTACILIO SEVERINO DA SILVA;05/09/2019;(28)35451755;;sms.iuna@saude.es.gov.br;M;;001;;27
-41,5359997620468;-20,3459947643842;"""""";PROGRAMA DE SAUDE DA FAMILIA DE PERDICAO;S/N;2628090;;Iúna;Municipal;;NOSSA SENHORA DAS GR;320300;29390000;;;RUA ARGEU LOPES;05/09/2019;(28)35451755;;sms.iuna@saude.es.gov.br;M;;001;;28
-40,367544958731;-20,3343925694001;"""""";US JARDIM AMERICA CENTRO DE SAUDE DE JARDIM AMERICA;S/N;2546892;;Cariacica;Municipal;;JARDIM AMERICA;320130;29140390;;;RUA NICARAGUA;03/09/2019;27 33466562-33466563;;"""""";M;;001;;29
-40,4199996030745;-20,2639948661859;"""""";US VALPARAISO;193;2652951;;Cariacica;Municipal;;VALPARAISO;320130;29143866;;;MARECHAL FLORIANO;03/09/2019;27 33168620/33164745;;"""""";M;;001;;30
-40,4047465553758;-20,3338264847771;"""""";US ALICE COUTINHO SANTOS MUCURI;S/N;2675250;;Cariacica;Municipal;;MUCURI;320130;29140440;;;RUA DOS PINHEIROS;03/09/2019;27 33466544-33969663;;"""""";M;;001;;31
-40,39125157384;-20,3735407688376;"""""";USF PADRE GABRIEL;S/N;3038157;;Cariacica;Municipal;;PADRE GABRIEL;320130;29141887;;;AVENIDA PADRE GABRIEL;03/09/2019;27 33466569;;"""""";M;;001;;32
-41,4160225646984;-20,4656750401247;"""""";UNIDADE DE SAUDE DE ASSUNCAO;S/N;2654741;;Muniz Freire;Municipal;;ASSUNCAO;320370;29386000;;;VILA ASSUNCAO;05/09/2019;(28)35441283;;"""""";M;;001;;33
-40,4611875018358;-19,2550643180072;"""""";UNIDADE SAUDE DA FAMILIA DE GOVERNADOR LINDENBERG;S/N;2445727;;Governador Lindenberg;Municipal;;CENTRO;320225;29720000;;;RUA JOAO CORDEIRO DE FREITAS;02/12/2019;(27) 99776-5621;;"""""";M;;001;;34
-40,2723701810036;-20,2133597293687;"""""";UNIDADE DE SAUDE DA FAMILIA IPANEMA;S/N;2500108;;Viana;Municipal;;IPANEMA;320510;29130915;;;RUA PASCOAL MARQUES;03/06/2019;27 33448567;;semsapro@ig.com.br;M;;016;;35
-41,6760372588721;-21,1304037713768;"""""";ESF CENTRO;315;2446480;;Bom Jesus do Norte;Municipal;;CENTRO;320110;29460000;;;AVENIDA PROGRESSO;28/11/2019;28 35621199;;"""""";M;;016;;36
-41,6720000536598;-21,1140001134915;"""""";ESF VISTA ALEGRE;29;2485486;;Bom Jesus do Norte;Municipal;;ZONA RURAL;320110;29460000;;;RUA JOAO CESAR BASTOS ARANTES;28/11/2019;28 35621199;;"""""";M;;016;;37
-40,0691455287718;-18,2221366447919;"""""";POSTO DE SAUDE ASSENTAMENTO CASTRO ALVES;S/N;2484463;;Pedro Canário;Municipal;;ASSENTCASTRO ALVES;320405;29970000;;;ASSENTAMENTO CASTRO ALVES;21/10/2019;(27)37641610;;apspc@hotmail.com;M;;001;;38
-40,3836200244559;-20,3143904900796;"""""";HOSPITAL ADAUTO BOTELHO;S/N;2465752;;Cariacica;Estadual;;SANTANA;320130;29154200;;;RODOVIA GOVERNADOR JOSE SETTE;28/11/2019;(27) 33368702;;heac.apoiodirecao@saude.es.gov.br;E;;006;;39
-40,3945898685523;-20,313390903232;"""""";US RIO MARINHO;S/N;2466147;;Cariacica;Municipal;;CASTELO BRANCO;320130;29140740;;;RUA PRIMEIRO DE MAIO;03/09/2019;27 33697170/33881378;;"""""";M;;001;;40
-40,4320321457554;-20,2579975942177;"""""";PRONTO ATENDIMENTO NOVA ROSA DA PENHA I;S/N;2466309;;Cariacica;Municipal;;NOVA R DA PENHA I;320130;29157413;;;RUA QUINZE;03/09/2019;27 32846064/32545943;;"""""";M;;008;;41
-40,5716758808759;-20,2964325891677;"""""";US NOVO BRASIL;S/N;2483734;;Cariacica;Municipal;;NOVO BRASIL;320130;29158093;;;AVENIDA PRINCIPAL;03/09/2019;27 33466548/33368347;;"""""";M;;001;;42
-40,3952774164761;-20,3271627475332;"""""";US NOVA BRASILIA;28;2486067;;Cariacica;Municipal;;NOVA BRASILIA;320130;29149420;;;RUA MELCHIDES PORFIRO ALMEIDA;31/10/2019;27 33466552/33432000;;"""""";M;;001;;43
-40,4185725894944;-20,2639341475084;"""""";US CARIACICA SEDE;S/N;2445174;;Cariacica;Municipal;;CARIACICA SEDE;320130;29156050;;;RUA GRACIANO DAS NEVES;04/12/2019;27 32844997-32844843;;"""""";M;;001;;44
-40,0845328298804;-19,8746271329026;"""""";UNIDADE BASICA DE SAUDE DE BARRA DO SAHY;S/N;2770121;;Aracruz;Municipal;;BARRA DO SAHY;320060;29198028;;;RUA BRASILIANO PEREIRA;09/10/2019;(27) 3270-7978;;"""""";M;;001;;45
-40,2762117946685;-19,8070572881461;"""""";UNIDADE BASICA DE SAUDE DE GUAXINDIBA;3449;2770156;;Aracruz;Municipal;;GUAXINDIBA;320060;29194727;;;AV VENANCIO FLORES;20/11/2019;(27) 3270-7960;;"""""";M;;001;;46
-40,266091587104;-19,8246484913502;"""""";VIGILANCIA EPIDEMIOLOGICA;20;2494426;;Aracruz;Municipal;;MOROBA;320060;29192733;;;AV MOROBA;19/08/2019;(27)32963080;;"""""";M;;022;;47
-41,0119844278515;-20,6736877591286;"""""";CENTRO MUNICIPAL DE ESPECIALIDADES;155;3118746;;Vargem Alta;Municipal;;CENTRO;320503;29295000;;;RUA WILLIAN ROSE;20/09/2019;(28)35281117;;"""""";M;;016;;48
-40,0548536135229;-19,3851607048089;"""""";UNIDADE SAUDE DA FAMILIA DR JOEL COELHO FERREIRA CAIC;S/N;5974844;;Linhares;Municipal;;INTERLAGOS;320320;29903109;;;RUA JOAO GAMA;27/06/2019;3372-5623;;us.caic@linhares.es.gov.br;M;;001;;49
-40,3405206640698;-20,3200925928593;"""""";UNIDADE BASICA DE SAUDE VITORIA;54;12262;;Vitória;Municipal;;CENTRO;320530;29010680;;;RUA CAIS DE SAO FRANCISCO;12/07/2019;(27)31325103;;usvitoria@correio1.vitoria.es.gov.br;M;;001;;50
-40,3172924988956;-20,2773549680295;"""""";CENTRO DE VIGILANCIA EM SAUDE AMBIENTAL;S/N;12467;;Vitória;Municipal;;RESISTENCIA;320530;29032545;;;RUA SAO SEBASTIAO;03/05/2019;(27)33248347;;"""""";M;;021;;51
-40,3151033771857;-20,2987652848194;"""""";UNIDADE BASICA DE SAUDE BONFIM THOMAZ THOMAZI;S/N;28185;;Vitória;Municipal;;BONFIM;320530;29047009;;;RUA DIOSCORO CARNEIRO FILHO;27/04/2019;27 - 31322055;;usbonfim@correio1.vitoria.es.gov.br;M;;001;;52
-40,4999939243995;-20,6489299189799;"""""";UNIDADE DE SAUDE DA FAMILIA JADER AVELAR BOGHI;S/N;2466465;;Guarapari;Municipal;;ADALBERTO SIMAO NADE;320240;29214370;;;AVENIDA JOAO ALMEIDA;24/05/2019;3362-9616;;"""""";M;;001;;53
-40,3849415007402;-20,336216027445;"""""";SECRETARIA MUNICIPAL DE SAUDE DE CARIACICA;05;4044541;;Cariacica;Municipal;;RIO BRANCO;320130;29147620;;;AVENIDA KLEBER ANDRADE;03/09/2019;(27) 33545600;;"""""";M;;002;;54
-40,3935778757173;-20,3555259294531;"""""";US SANTA BARBARA;S/N;2652978;;Cariacica;Municipal;;SANTA BARBARA;320130;29145010;;;RUA AMARO PEREIRA DA SILVA;11/11/2019;27 33861548/33466554;;"""""";M;;001;;55
-40,4022873737979;-20,2923065248088;"""""";US CAMPO VERDE;S/N;2652994;;Cariacica;Municipal;;CAMPO VERDE;320130;29155880;;;RUA ERNESTO SILVA;21/10/2019;27 32844933-32846603;;"""""";M;;001;;56
-40,3696956398884;-20,3887353944631;"""""";US JARBAS CYPRESTE DE SA JARDIM BOTANICO;S/N;2675269;;Cariacica;Municipal;;JARDIM BOTANICO;320130;29142619;;;RUA BAIXO GUANDU;31/10/2019;27 33698338-33695976;;"""""";M;;016;;57
-41,4273453152728;-20,4009973963553;"""""";PROGRAMA DE SAUDE DA FAMILIA DE MENINO JESUS;S/N;2678896;;Muniz Freire;Municipal;;MENINO JESUS;320370;29384000;;;RUA FRANCELINO GOULART;27/05/2019;(28)35444082;;"""""";M;;001;;58
-40,2141884908639;-18,4120105930832;"""""";IESPHOSPITAL DE PINHEIROS;S/N;2484366;;Pinheiros;Municipal;;CENTRO;320410;29980000;;;RUA DR LOBATO;24/09/2019;(27)37652155;;secsaude.pinheiros@hotmail.com;M;;008;;59
-40,6310459802395;-19,1516549282459;"""""";PS CORREGO DA DIVISA PS ARTHUR SCARAMUSSA;S/N;2445646;;São Domingos do Norte;Municipal;;CORREGO DA DIVISA;320465;29745000;;;CORREGO DA DIVISA;05/09/2019;(27)37421034;;saudesdn@yaho.com.br;M;;001;;60
-39,8470495758967;-18,7240630482751;"""""";NUCLEO REGIONAL DE ESPECIALIDADES DE SAO MATEUS;736;2532174;;São Mateus;Estadual;;SAM REMO;320490;29936600;;;RODOVIA OTHOVARINO DUARTE SANTOS;27/09/2019;(27)37674150;;srs.smateus@saude.es.gov.br;E;;011;;61
-40,3080004309094;-20,1290029501392;"""""";UNIDADE BASICA DE SAUDE MANGUINHOS;S/N;2499460;;Serra;Municipal;;MANGUINHOS;320500;29173043;;;RUA PIRAQUIRI;19/08/2019;(27) 3243-4412;;ubs.manguinhos.sesa@serra.es.gov.br;M;;016;;62
-40,3170186427954;-20,1383318973663;"""""";UPA 24 HORAS SERRA OSCARINA MIRANDA BORGES;S/N;2485958;;Serra;Municipal;;SERRA SEDE;320500;29176060;;;AVENIDA JONES DOS SANTOS NEVES;16/10/2019;(27) 3291- 8837;;upaserra@sesa.es.gov.br;M;;008;;63
-40,4643206193016;-18,4960970575308;"""""";UNIDADE BASICA DE SAUDE DA FAMILIA ANDRE BROZZIO;S/N;2485087;;Nova Venécia;Municipal;;PATRIMONIO DO XV;320390;29830000;;;RUA PRINCIPAL;03/09/2019;(27) 3772-6865;;"""""";M;;001;;64
-40,6495856380202;-18,7337308838026;"""""";POSTO DE SAUDE ANTONIO NAPOLEAO;S/N;2485109;;Nova Venécia;Municipal;;SAO GONCALO;320390;29830000;;;RUA PRINCIPAL;22/03/2019;(27)37726865;;"""""";M;;001;;65
-40,3966867944994;-18,7074343016323;"""""";UNIDADE DE SAUDE ANGELO PIASSAROLLI;26;2485141;;Nova Venécia;Municipal;;MARGARETH;320390;29830000;;;RUA IBIRACU;02/12/2019;(27)37726868;;secsaudenv@hotmail.com;M;;001;;66
-40,5719086320649;-18,8210828634868;"""""";POSTO DE SAUDE SANTA FRIGINI CEZAR;S/N;2652897;;Nova Venécia;Municipal;;CORREGO DO POCAO;320390;29830000;;;RUA PRINCIPAL;09/04/2019;(27)37271900;;"""""";M;;001;;67
-40,320397842845;-20,3001077088485;"""""";HOSPITAL DAS CLINICAS;1355;4044916;;Vitória;Estadual;;SANTA CECILIA;320530;29043260;;;AV MARECHAL CAMPOS;05/12/2019;(27)33357101;;sras.hucam@ebserrh.gov.br;E;;006;;68
-40,7622299900958;-19,8959419383028;"""""";ESF VARZEA ALEGRE SANTA TERESA ES;S/N;2466074;;Santa Teresa;Municipal;;VARZEA ALEGRE;320460;29662000;;;RUA SAO PAULO;20/11/2019;(27)32595136;;esfvarzeaalegre@santateresa.es.gov.br;M;;001;;69
-41,6872788932883;-20,7765167733892;"""""";ESF JOSE THEODORO VALE DO SOL;S/N;5431387;;Guaçui;Municipal;;VALE DO SOL;320230;29560000;;;RUA MARIA VIANA EMERY;05/07/2019;2835533861;;saude@guacui.es.gov.br;M;;001;;70
-40,2648010848402;-20,2653552183305;"""""";POLO ACADEMIA DE SAUDE CAMBURI II;S/N;6882161;;Vitória;Municipal;;JARDIM CAMBURI;320530;29070010;;;AV DANTE MICHELINE;06/05/2019;"""""";;"""""";M;;013;;71
-40,3170967353877;-20,3074415355119;"""""";POLO ACADEMIA DE SAUDE BAIRRO DE LOURDES;S/N;6884342;;Vitória;Municipal;;DE LOURDES;320530;29042753;;;RUA SANTA RITA;06/05/2019;"""""";;"""""";M;;013;;72
-40,2971813098475;-20,2767280667452;"""""";POLO ACADEMIA DE SAUDE PARQUE PEDRA DA CEBOLA;S/N;6884377;;Vitória;Municipal;;MATA DA PRAIA;320530;29065025;;;RUA JOAO BAPTISTA CELESTINO;06/05/2019;"""""";;"""""";M;;013;;73
-40,3373632211939;-20,2802926968745;"""""";POLO ACADEMIA DE SAUDE SAO PEDRO;S/N;6884385;;Vitória;Municipal;;SAO PEDRO I;320530;29030200;;;RUA DOM JOAO BATISTA;06/05/2019;"""""";;"""""";M;;013;;74
-40,341539559788;-20,3188560916088;"""""";POLO ACADEMIA DE SAUDE PARQUE MOSCOSO;S/N;6884393;;Vitória;Municipal;;CENTRO;320530;29018310;;;AVENIDA CLETO NUNES;06/05/2019;"""""";;"""""";M;;013;;75
-40,3220346035403;-20,3185167654543;"""""";POLO ACADEMIA DE SAUDE FORTE SAO JOAO;1185;6884474;;Vitória;Municipal;;FORTE SAO JOAO;320530;29010330;;;AVENIDA MARECHAL MASCARENHAS DE MORAES;06/05/2019;"""""";;"""""";M;;013;;76
-41,1117689046201;-20,8491458983843;"""""";VIGILANCIA SANITARIA;0103;6933467;;Cachoeiro de Itapemirim;Municipal;;CENTRO;320120;29300100;;;RUA 25 DE MARCO;23/10/2019;28-3155-5240;;divisa.semus@gmail.com;M;;022;;77
-40,0717731793612;-18,9075479332257;"""""";VIGILANCIA EM SAUDE DE JAGUARE;5;6932371;;Jaguaré;Municipal;;CENTRO;320305;29950000;;;RUA PASCOAL BRIOSCHI;07/10/2019;27 3769-1944;;"""""";M;;021;;78
-41,0154526344735;-18,4772450004448;"""""";UNIDADE DE SAUDE SEBASTIAO VIANA;S/N;5100542;;Água Doce do Norte;Municipal;;VILA NELITA;320016;29820000;;;RUA PRINCIPAL;07/10/2019;(27)37591140;;sms.adn@ig.com.br;M;;001;;79
-41,1849999207017;-20,6040020089372;"""""";CAPS CENTRO DE ATENCAO PSICOSSOCIAL;S/N;6860133;;Castelo;Municipal;;CAVA ROXA;320140;29360000;;;AVENIDA JOAO VENTURIM FILHO;01/10/2019;028-3542-4291;;capscastelo.es@gmail.com;M;;017;;80
-40,8291002003077;-18,3755466354954;"""""";VIGILANCIA EM SAUDE;100;5115272;;Ecoporanga;Municipal;;CENTRO;320210;29850000;;;RUA IDALINO MONTEIRO;02/09/2019;"""""";;pmesms@uol.com.br;M;;021;;81
-40,3889998978182;-18,9979986532416;"""""";PA MARIA DO CARMO TOM DALMAGRO;S/N;6674593;;Vila Valério;Municipal;;SANTA RITA;320517;29785000;;;AVENIDA BENEDITO ALVES SOARE;18/11/2019;"""""";;"""""";M;;016;;82
-41,1832732727644;-20,8272610528236;"""""";VIGILANCIA AMBIENTAL;01;6694470;;Cachoeiro de Itapemirim;Municipal;;AEROPORTO;320120;29309470;;;RODOVIA CACHOEIRO MUQUI;11/07/2019;28-3155-5711;;sms.cachoeiro@saude,es.gov.br;M;;021;;83
-41,4120089037521;-20,4650715977368;"""""";VIGILANCIA EM SAUDE DE MUNIZ FREIRE;S/N;6702198;;Muniz Freire;Municipal;;CENTRO;320370;29380000;;;RUA CONEGO JOSE BAZZARELLA;05/12/2019;"""""";;"""""";M;;002;;84
-40,5218534407589;-18,0975084446482;"""""";LABORATORIO DE ANALISES CLINICAS DE MUCURICI ES;S/N;3950808;;Mucurici;Municipal;;PLANALTO;320360;29880000;;;RUA PRESIDENTE KENNEDY;29/08/2019;3-7511230;;avaniasinacio@hotmail.com;M;;018;;85
-40,6310003775325;-19,5389991497299;"""""";US2 NOSSA SENHORA APARECIDA LUIZ JOSE LOURENCO;S/N;6893775;;Colatina;Municipal;;APARECIDA;320150;29703638;;;RUA AMALIA ALVINA JARJURA;25/06/2019;27 3711-6492;;"""""";M;;001;;86
-40,498320067484;-20,6599836122386;"""""";CENTRAL DE REGULACAO MUNICIPAL;S/N;5078571;;Guarapari;Municipal;;MUQUICABA;320240;29215240;;;AVENIDA ADAMASTOR ANTONIO DA SILVA;08/10/2019;3361 4970;;"""""";M;;003;;87
-40,542000302386;-19,4129974653808;"""""";UNIDADE ESTRATEGIA SAUDE DA FAMILIA SEDE;100;2484668;;Marilândia;Municipal;;CENTRO;320335;29725000;;;RUA LUIZ CATELAN;25/09/2019;(27)37242993;;semusmarilandia@bol.com.br;M;;001;;88
-40,542000302386;-19,4129974653808;"""""";UNIDADE DE SAUDE DA FAMILIA SAPUCAIA;S/N;2484641;;Marilândia;Municipal;;SAPUCAIA;320335;29725000;;;AVN VICENTE PADOVAN;07/08/2019;027 3724-4024;;"""""";M;;001;;89
-40,7403898491684;-18,9861096319402;"""""";UNIDADE SANIT III AGUIA BRANCA;252;2449072;;Águia Branca;Municipal;;CENTRO;320013;29795000;;;RUA PAULINO MASSUCATI;16/10/2019;(27)37451222;;pmab@sgpnet.com.br;M;;001;;90
-40,2970745918834;-20,3327885883532;"""""";CENTRO MUNICIPAL DE ATENCAO SECUNDARIA MAIS SAUDE;1803;6676898;;Vila Velha;Municipal;;CENTRO;320520;29100041;;;RUA CASTELO BRANCO;03/10/2019;2732394358;;"""""";M;;016;;91
-41,3795989096123;-20,7908473726969;"""""";UNIDADE DE SAUDE DA FAMILIA MOD III;S/N;2447444;;Jerônimo Monteiro;Municipal;;SANTA CLARA;320310;29550000;;;AVENIDA SEBASTIAO CARANGOLA;19/08/2019;(27)35581638;;psfmodulo03@hotmail.com;M;;016;;92
-41,3916455173303;-20,7878895943601;"""""";U S JERONIMO MONTEIRO;08;2447827;;Jerônimo Monteiro;Municipal;;CENTRO;320310;29550000;;;AV DR JOSE FARAH;25/09/2019;(28)35581955;;secretariajm@bol.com.br;M;;016;;93
-41,3974097012623;-20,7930555246994;"""""";UNIDADE DE SAUDE DA FAMILIA MOD IV;S/N;2627884;;Jerônimo Monteiro;Municipal;;SANTO ANTONIO;320310;29550000;;;RUA ZEQUINHA SAPATEIRO;30/10/2019;(28)35581651;;esfmodiv@gmail.com;M;;016;;94
-41,0598380377438;-19,9710009436745;"""""";UBS DE SAO LUIZ DE MIRANDA;S/N;2449145;;Laranja da Terra;Municipal;;DISTRITO DE SAO LUIZ;320316;29619000;;;RUA LATERAL;06/09/2019;(27)37361323;;saude@laranjadaterra.gov.br;M;;001;;95
-41,0576572687225;-19,9024534112978;"""""";VIGILANCIA EM SAUDE;S/N;2486172;;Laranja da Terra;Municipal;;CENTRO;320316;29615000;;;AV GERMANO STABENOW;06/09/2019;27 37361323;;saude@laranjadaterra.es.gov.br;M;;021;;96
-40,87024274086;-21,1324636820485;"""""";UBS PRAIA DOS CACOES;S/N;2447908;;Marataízes;Municipal;;PRAIA DOS CACOES;320332;29345000;;;RUA PROJETADA;08/07/2019;"""""";;semusmarataizes@yahoo.com.br;M;;001;;97
-40,9793722411512;-18,5463006564367;"""""";CS DR DEBORA CRISTINA ELIZEU COELHO;S/N;2448998;;Água Doce do Norte;Municipal;;CENTRO;320016;29820000;;;RUA MARINHO ELIZEU;07/10/2019;(27)37591140;;sms.adn@ig.com.br;M;;001;;98
-41,036806970199;-18,4128597493934;"""""";CLAUDOMIRO MARQUES;S/N;2627744;;Água Doce do Norte;Municipal;;SANTO AGOSTINHO;320016;29820000;;;RUA MARIO DE OLIVEIRA DIAS;06/12/2019;(27)37591140;;sms.adn@ig.com.br;M;;001;;99
-40,0720001181913;-19,3910061825386;"""""";LABORATORIO MUNICIPAL;S/N;5388856;;Linhares;Municipal;;ARACA;320320;29900440;;;RUA MOSENHOR PEDRINHA;01/11/2019;(027)3372-1953;;"""""";M;;022;;100
